text,category
hospital bill,Healthcare
school admission fee,Education
Bread loaf,Food
Ola ride booked,Transport
municipal water,Housing
Hospital bill payment,Healthcare
e-book subscription,Education
Butter,Food
Airport shuttle,Transport
water tax,Housing
Hospital admission advance,Healthcare
graph notebooks,Education
Cheese,Food
Train sleeper booked,Transport
Cleared water charges,Housing
surgery consultation,Healthcare
mock test series,Education
Paneer picked up,Food
Bus coach,Transport
water supply charge,Housing
physiotherapy,Healthcare
Subscribed Coursera course,Education
Curd shopping,Food
E-rickshaw,Transport
Water tank refill,Housing
Ultrasound scan taken,Healthcare
research journal subscription,Education
ice cream,Food
Express train taken,Transport
water supply tax,Housing
MRI scan done,Healthcare
school computer lab fee,Education
Biscuits,Food
Long distance bus riding,Transport
water utility bill,Housing
diabetes test,Healthcare
school bus fee,Education
Chips,Food
Taxi fare night,Transport
drinking water,Housing
ECG test,Healthcare
stationery pack,Education
Soft drink,Food
Monthly pass,Transport
internet charges,Housing
ENT consultation,Healthcare
whiteboard markers,Education
Juice shopping,Food
Metro recharge done,Transport
internet bill,Housing
Ambulance charges,Healthcare
cultural training,Education
Tea,Food
Bike petrol filled,Transport
WiFi service,Housing
cancer screening,Healthcare
diploma fee,Education
Coffee,Food
Auto ride,Transport
broadband service,Housing
dental medicines,Healthcare
career counseling workshop fee,Education
Dry fruits shopping,Food
Taxi ride,Transport
Internet charges,Housing
pathology test,Healthcare
geometry box class,Education
Almonds,Food
Uber XL booked,Transport
Internet recharge,Housing
x-ray,Healthcare
Registered online coding test,Education
Cashews,Food
Van share,Transport
network charges,Housing
dermatology treatment,Healthcare
pen drives,Education
Raisins,Food
Autorickshaw fare,Transport
cable bill,Housing
dietitian,Healthcare
music training,Education
Honey picked up,Food
Shared cab ride,Transport
TV subscription,Housing
vaccination,Healthcare
language class,Education
Jam,Food
Cab night fare,Transport
home security,Housing
dialysis,Healthcare
science lab manual,Education
Ketchup shopping,Food
Parking monthly,Transport
society maintenance,Housing
eye checkup,Healthcare
school uniform,Education
Pickle,Food
Metro ticket,Transport
cleaning service,Housing
skin allergy treatment,Healthcare
college hostel fee,Education
Instant noodles,Food
Car fuel refill,Transport
Housekeeping,Housing
pediatric consultation,Healthcare
annual magazine,Education
Pasta,Food
Bike repair,Transport
garbage collection,Housing
emergency ward,Healthcare
printer ink,Education
Breakfast cereal,Food
Cycle rent done,Transport
pest control service,Housing
therapy session,Healthcare
sports coaching fee,Education
Chocolate shopping,Food
Bus ticket,Transport
repairs home,Housing
hospital stay,Healthcare
project report,Education
Popcorn,Food
Train general ticket,Transport
plumbing,Housing
mental health counseling,Healthcare
art kit,Education
dragon fruit,Food
Flight seat reserved,Transport
painting,Housing
general health checkup,Healthcare
backpack college,Education
Guava,Food
Ambulance ride,Transport
home upgrade,Housing
insulin,Healthcare
Registered GRE exam,Education
Peaches,Food
Luggage shuttle,Transport
housing dues,Housing
blood pressure test,Healthcare
tuition materials,Education
Avocado shopping,Food
Freight charge,Transport
property tax,Housing
vision test,Healthcare
project notebook,Education
Lettuce,Food
Driver tip,Transport
mortgage installment,Housing
acupuncture,Healthcare
study guide,Education
Broccoli,Food
Cab payment done,Transport
loan EMI,Housing
homeopathy,Healthcare
visual learning subscription,Education
Sweet corn shopping,Food
Auto recharge,Transport
security fee,Housing
ayurveda,Healthcare
sketchbook,Education
Radish,Food
Uber pool booked,Transport
new furniture,Housing
alternative medicine,Healthcare
new pen,Education
Pumpkin,Food
Truck ride,Transport
maintenance charges,Housing
eye surgery,Healthcare
learning app subscription,Education
Cabbage,Food
Train express ticket,Transport
washer repair,Housing
physiotherapy session,Healthcare
application form fee,Education
Brinjal shopping,Food
Bus ticket renewed,Transport
electricity recharge,Housing
surgery,Healthcare
workshop,Education
Beans,Food
Cab fare,Transport
water tank refill,Housing
IVF treatment,Healthcare
school reunion entry,Education
Green chillies,Food
Metro ride taken,Transport
courier,Housing
dental braces,Healthcare
engineering kit,Education
Beetroot shopping,Food
toll charges,Transport
parking slot,Housing
oral surgery,Healthcare
physics book,Education
Papaya,Food
Rail ticket,Transport
parking garage,Housing
dental extraction,Healthcare
math workbook,Education
Kiwi,Food
Ride-sharing fee,Transport
gate charges,Housing
radiology charges,Healthcare
chemistry set,Education
Sapota picked up,Food
Bike parking,Transport
house insurance,Housing
cardiology fee,Healthcare
attendance tracking device,Education
Plums,Food
Scooter parking fee,Transport
insurance premium,Housing
orthopedics consultation,Healthcare
entrance test fee,Education
Lychee,Food
Ferry pass,Transport
home decor,Housing
health scan,Healthcare
college festival,Education
Apricot,Food
Monthly travel card,Transport
pest inspection,Housing
dental x-ray,Healthcare
LMS access,Education
Dates shopping,Food
Reserved seat train,Transport
society charges,Housing
medicine delivery,Healthcare
hostel study materials,Education
Walnuts,Food
sleeper coach bus,Transport
housing society,Housing
wheelchair service,Healthcare
academic calendar,Education
Pomegranate picked,Food
shared auto,Transport
home gate,Housing
health insurance renewal,Healthcare
batch photo,Education
Coconut,Food
cab pool fare,Transport
storage,Housing
cancer therapy,Healthcare
computer classroom fee,Education
Raspberry,Food
shuttle fare,Transport
monthly security fee,Housing
critical care,Healthcare
exam pad,Education
Blueberry,Food
airport pickup,Transport
bill deposit,Housing
medical procedure,Healthcare
online mock test,Education
Strawberry shopping,Food
rapid transit,Transport
colony charges,Housing
medicine bill,Healthcare
aptitude training,Education
Peas,Food
Rail pass,Transport
home water pump,Housing
doctor prescription,Healthcare
career guidance,Education
Turnip,Food
Monthly bike pass,Transport
water purifier maintenance,Housing
home care,Healthcare
dictionary,Education
Zucchini,Food
e-rickshaw fare,Transport
lock repair,Housing
calcium supplements,Healthcare
extracurricular class fee,Education
Bell pepper shopping,Food
van service,Transport
home garden service,Housing
glucose test,Healthcare
smartboard marker,Education
Capsicum,Food
taxi pool,Transport
home heater service,Housing
polio vaccine,Healthcare
convocation fee,Education
Spinach,Food
cab sharing,Transport
chimney cleaning,Housing
insurance premium,Healthcare
competitive exam guide,Education
Coriander,Food
sleeper bus ticket,Transport
building maintenance,Housing
dental checkup,Healthcare
tracing paper,Education
medical treatment,Healthcare
medical bill,Healthcare
medical supplies,Healthcare
Medical expense payment,Healthcare
Medical consultation fee,Healthcare
transport,Transport
Transport,Transport
healthcare,Healthcare
Healthcare,Healthcare
KFC,Food
kfc,Food
burger KFC,Food
vegetables market,Food
apples,Food
snacks bakery,Food
apples,Food
bananas 6 pcs,Food
coffee cafe,Food
vegetables market,Food
grocery shopping,Food
ice cream cup,Food
ice cream cup,Food
bananas 6 pcs,Food
vegetables market,Food
burger KFC,Food
ordered pizza,Food
snacks bakery,Food
ordered pizza,Food
burger KFC,Food
vegetables market,Food
coffee cafe,Food
lunch canteen,Food
coffee cafe,Food
ice cream cup,Food
snacks bakery,Food
burger KFC,Food
ice cream cup,Food
apples,Food
vegetables market,Food
apples,Food
vegetables market,Food
ice cream cup,Food
coffee cafe,Food
coffee cafe,Food
apples,Food
ice cream cup,Food
grocery shopping,Food
bananas 6 pcs,Food
burger KFC,Food
ordered pizza,Food
vegetables market,Food
vegetables market,Food
ice cream cup,Food
lunch canteen,Food
vegetables market,Food
lunch canteen,Food
snacks bakery,Food
burger KFC,Food
ice cream cup,Food
lunch canteen,Food
bananas 6 pcs,Food
ordered pizza,Food
lunch canteen,Food
lunch canteen,Food
burger KFC,Food
bananas 6 pcs,Food
ordered pizza,Food
vegetables market,Food
vegetables market,Food
ice cream cup,Food
vegetables market,Food
snacks bakery,Food
coffee cafe,Food
snacks bakery,Food
ordered pizza,Food
apples,Food
ice cream cup,Food
ordered pizza,Food
bananas 6 pcs,Food
apples,Food
snacks bakery,Food
ice cream cup,Food
grocery shopping,Food
ordered pizza,Food
apples,Food
vegetables market,Food
grocery shopping,Food
snacks bakery,Food
apples,Food
grocery shopping,Food
snacks bakery,Food
ice cream cup,Food
apples,Food
ice cream cup,Food
coffee cafe,Food
bananas 6 pcs,Food
ordered pizza,Food
snacks bakery,Food
snacks bakery,Food
ice cream cup,Food
apples,Food
burger KFC,Food
apples,Food
ordered pizza,Food
grocery shopping,Food
burger KFC,Food
coffee cafe,Food
burger KFC,Food
burger KFC,Food
bananas 6 pcs,Food
burger KFC,Food
uber ride,Transport
train ticket,Transport
metro pass,Transport
uber ride,Transport
uber ride,Transport
petrol refill,Transport
cab office,Transport
cab office,Transport
cab office,Transport
train ticket,Transport
cab office,Transport
petrol refill,Transport
uber ride,Transport
uber ride,Transport
uber,Transport
uber,Transport
train,Transport
train,Transport
petrol refill,Transport
petrol refill,Transport
flight booking,Transport
metro pass,Transport
auto fare,Transport
petrol refill,Transport
bike parking fee,Transport
auto fare,Transport
auto fare,Transport
auto fare,Transport
taxi fare,Transport
flight booking,Transport
train ticket,Transport
bike parking fee,Transport
petrol refill,Transport
bike parking fee,Transport
petrol refill,Transport
bus ticket,Transport
flight booking,Transport
train ticket,Transport
petrol refill,Transport
bus ticket,Transport
petrol refill,Transport
metro pass,Transport
taxi fare,Transport
petrol refill,Transport
cab office,Transport
bus ticket,Transport
flight booking,Transport
cab office,Transport
uber ride,Transport
petrol refill,Transport
bus ticket,Transport
metro pass,Transport
bus ticket,Transport
bike parking fee,Transport
auto fare,Transport
bike parking fee,Transport
train ticket,Transport
taxi fare,Transport
flight booking,Transport
metro pass,Transport
bus ticket,Transport
metro pass,Transport
bike parking fee,Transport
uber ride,Transport
flight booking,Transport
bike parking fee,Transport
taxi fare,Transport
auto fare,Transport
uber ride,Transport
metro pass,Transport
bus ticket,Transport
flight booking,Transport
train ticket,Transport
taxi fare,Transport
taxi fare,Transport
metro pass,Transport
metro pass,Transport
bus ticket,Transport
auto fare,Transport
cab office,Transport
metro pass,Transport
bike parking fee,Transport
auto fare,Transport
flight booking,Transport
metro pass,Transport
train ticket,Transport
taxi fare,Transport
auto fare,Transport
petrol refill,Transport
petrol refill,Transport
flight booking,Transport
uber ride,Transport
flight booking,Transport
uber ride,Transport
cab office,Transport
taxi fare,Transport
cab office,Transport
train ticket,Transport
bus ticket,Transport
metro pass,Transport
train ticket,Transport
taxi fare,Transport
bus ticket,Transport
uber ride,Transport
apartment deposit,Housing
home loan emi,Housing
wifi recharge,Housing
maintenance charge,Housing
maintenance charge,Housing
home loan emi,Housing
furniture repair,Housing
home loan emi,Housing
apartment deposit,Housing
rent,Housing
gas connection bill,Housing
home loan emi,Housing
electricity bill,Housing
water bill,Housing
house cleaning,Housing
maintenance charge,Housing
wifi recharge,Housing
furniture repair,Housing
electricity bill,Housing
water bill,Housing
gas connection bill,Housing
furniture repair,Housing
furniture repair,Housing
gas connection bill,Housing
furniture repair,Housing
rent,Housing
home loan emi,Housing
maintenance charge,Housing
home loan emi,Housing
apartment deposit,Housing
furniture repair,Housing
home loan emi,Housing
home loan emi,Housing
water bill,Housing
wifi recharge,Housing
rent,Housing
rent,Housing
furniture repair,Housing
wifi recharge,Housing
house cleaning,Housing
rent,Housing
rent,Housing
rent,Housing
wifi recharge,Housing
gas connection bill,Housing
furniture repair,Housing
gas connection bill,Housing
electricity bill,Housing
water bill,Housing
apartment deposit,Housing
maintenance charge,Housing
wifi recharge,Housing
gas connection bill,Housing
wifi recharge,Housing
apartment deposit,Housing
rent,Housing
maintenance charge,Housing
apartment deposit,Housing
house cleaning,Housing
water bill,Housing
maintenance charge,Housing
house cleaning,Housing
wifi recharge,Housing
maintenance charge,Housing
apartment deposit,Housing
gas connection bill,Housing
home loan emi,Housing
water bill,Housing
electricity bill,Housing
electricity bill,Housing
apartment deposit,Housing
wifi recharge,Housing
wifi recharge,Housing
house cleaning,Housing
home loan emi,Housing
apartment deposit,Housing
water bill,Housing
house cleaning,Housing
wifi recharge,Housing
house cleaning,Housing
home loan emi,Housing
home loan emi,Housing
apartment deposit,Housing
apartment deposit,Housing
furniture repair,Housing
house cleaning,Housing
maintenance charge,Housing
water bill,Housing
water bill,Housing
gas connection bill,Housing
maintenance charge,Housing
gas connection bill,Housing
rent,Housing
rent,Housing
apartment deposit,Housing
apartment deposit,Housing
apartment deposit,Housing
home loan emi,Housing
house cleaning,Housing
rent,Housing
doctor consultation,Healthcare
dental checkup,Healthcare
blood test,Healthcare
therapy session,Healthcare
eye test,Healthcare
hospital bill,Healthcare
therapy session,Healthcare
doctor consultation,Healthcare
vitamin tablets,Healthcare
hospital bill,Healthcare
doctor consultation,Healthcare
vitamin tablets,Healthcare
medicines,Healthcare
hospital bill,Healthcare
blood test,Healthcare
doctor consultation,Healthcare
dental checkup,Healthcare
blood test,Healthcare
health insurance premium,Healthcare
dental checkup,Healthcare
doctor consultation,Healthcare
vitamin tablets,Healthcare
vitamin tablets,Healthcare
hospital bill,Healthcare
eye test,Healthcare
therapy session,Healthcare
dental checkup,Healthcare
therapy session,Healthcare
vitamin tablets,Healthcare
vitamin tablets,Healthcare
eye test,Healthcare
vitamin tablets,Healthcare
therapy session,Healthcare
eye test,Healthcare
vitamin tablets,Healthcare
therapy session,Healthcare
therapy session,Healthcare
hospital bill,Healthcare
first aid kit,Healthcare
dental checkup,Healthcare
medicines,Healthcare
first aid kit,Healthcare
vitamin tablets,Healthcare
medicines,Healthcare
hospital bill,Healthcare
medicines,Healthcare
dental checkup,Healthcare
health insurance premium,Healthcare
eye test,Healthcare
dental checkup,Healthcare
dental checkup,Healthcare
eye test,Healthcare
eye test,Healthcare
blood test,Healthcare
eye test,Healthcare
therapy session,Healthcare
health insurance premium,Healthcare
medicines,Healthcare
medicines,Healthcare
medicines,Healthcare
doctor consultation,Healthcare
vitamin tablets,Healthcare
blood test,Healthcare
hospital bill,Healthcare
dental checkup,Healthcare
blood test,Healthcare
dental checkup,Healthcare
eye test,Healthcare
vitamin tablets,Healthcare
medicines,Healthcare
vitamin tablets,Healthcare
dental checkup,Healthcare
therapy session,Healthcare
eye test,Healthcare
vitamin tablets,Healthcare
doctor consultation,Healthcare
vitamin tablets,Healthcare
blood test,Healthcare
therapy session,Healthcare
blood test,Healthcare
doctor consultation,Healthcare
blood test,Healthcare
first aid kit,Healthcare
eye test,Healthcare
medicines,Healthcare
dental checkup,Healthcare
hospital bill,Healthcare
therapy session,Healthcare
first aid kit,Healthcare
therapy session,Healthcare
doctor consultation,Healthcare
therapy session,Healthcare
health insurance premium,Healthcare
blood test,Healthcare
blood test,Healthcare
blood test,Healthcare
medicines,Healthcare
vitamin tablets,Healthcare
vitamin tablets,Healthcare
first aid kit,Healthcare
exam registration,Education
school uniform,Education
stationery shopping,Education
textbooks,Education
textbooks,Education
library fine,Education
stationery shopping,Education
textbooks,Education
textbooks,Education
stationery shopping,Education
online course fee,Education
textbooks,Education
online course fee,Education
school uniform,Education
textbooks,Education
school uniform,Education
notebooks purchase,Education
lab equipment,Education
exam registration,Education
school uniform,Education
stationery shopping,Education
online course fee,Education
school uniform,Education
college admission fee,Education
lab equipment,Education
school uniform,Education
stationery shopping,Education
textbooks,Education
online course fee,Education
notebooks purchase,Education
lab equipment,Education
library fine,Education
stationery shopping,Education
stationery shopping,Education
school uniform,Education
school uniform,Education
school uniform,Education
exam registration,Education
school uniform,Education
tuition fee,Education
school uniform,Education
textbooks,Education
lab equipment,Education
online course fee,Education
notebooks purchase,Education
college admission fee,Education
exam registration,Education
library fine,Education
tuition fee,Education
exam registration,Education
tuition fee,Education
library fine,Education
lab equipment,Education
notebooks purchase,Education
college admission fee,Education
exam registration,Education
textbooks,Education
exam registration,Education
exam registration,Education
school uniform,Education
exam registration,Education
library fine,Education
library fine,Education
online course fee,Education
textbooks,Education
college admission fee,Education
lab equipment,Education
lab equipment,Education
lab equipment,Education
tuition fee,Education
stationery shopping,Education
library fine,Education
lab equipment,Education
tuition fee,Education
textbooks,Education
school uniform,Education
school uniform,Education
lab equipment,Education
textbooks,Education
textbooks,Education
tuition fee,Education
notebooks purchase,Education
lab equipment,Education
lab equipment,Education
notebooks purchase,Education
college admission fee,Education
online course fee,Education
school uniform,Education
exam registration,Education
textbooks,Education
tuition fee,Education
exam registration,Education
online course fee,Education
online course fee,Education
notebooks purchase,Education
lab equipment,Education
school uniform,Education
stationery shopping,Education
library fine,Education
textbooks,Education
spotify premium,Entertainment
bowling session,Entertainment
bowling session,Entertainment
amusement park entry,Entertainment
circus ticket,Entertainment
circus ticket,Entertainment
bowling session,Entertainment
amusement park entry,Entertainment
bowling session,Entertainment
standup show,Entertainment
cinema visit,Entertainment
amusement park entry,Entertainment
movie ticket,Entertainment
amusement park entry,Entertainment
netflix subscription,Entertainment
bowling session,Entertainment
standup show,Entertainment
amusement park entry,Entertainment
spotify premium,Entertainment
netflix subscription,Entertainment
circus ticket,Entertainment
spotify premium,Entertainment
movie ticket,Entertainment
concert pass,Entertainment
circus ticket,Entertainment
standup show,Entertainment
netflix subscription,Entertainment
amusement park entry,Entertainment
movie ticket,Entertainment
cinema visit,Entertainment
netflix subscription,Entertainment
amusement park entry,Entertainment
game purchase,Entertainment
movie ticket,Entertainment
spotify premium,Entertainment
movie ticket,Entertainment
spotify premium,Entertainment
standup show,Entertainment
netflix subscription,Entertainment
standup show,Entertainment
spotify premium,Entertainment
movie ticket,Entertainment
game purchase,Entertainment
circus ticket,Entertainment
cinema visit,Entertainment
amusement park entry,Entertainment
movie ticket,Entertainment
circus ticket,Entertainment
amusement park entry,Entertainment
cinema visit,Entertainment
netflix subscription,Entertainment
bowling session,Entertainment
netflix subscription,Entertainment
bowling session,Entertainment
game purchase,Entertainment
standup show,Entertainment
bowling session,Entertainment
movie ticket,Entertainment
bowling session,Entertainment
cinema visit,Entertainment
bowling session,Entertainment
concert pass,Entertainment
cinema visit,Entertainment
movie ticket,Entertainment
bowling session,Entertainment
circus ticket,Entertainment
game purchase,Entertainment
concert pass,Entertainment
netflix subscription,Entertainment
amusement park entry,Entertainment
concert pass,Entertainment
movie ticket,Entertainment
circus ticket,Entertainment
cinema visit,Entertainment
bowling session,Entertainment
circus ticket,Entertainment
cinema visit,Entertainment
concert pass,Entertainment
spotify premium,Entertainment
movie ticket,Entertainment
game purchase,Entertainment
spotify premium,Entertainment
movie ticket,Entertainment
cinema visit,Entertainment
concert pass,Entertainment
netflix subscription,Entertainment
amusement park entry,Entertainment
game purchase,Entertainment
cinema visit,Entertainment
netflix subscription,Entertainment
netflix subscription,Entertainment
netflix subscription,Entertainment
spotify premium,Entertainment
amusement park entry,Entertainment
game purchase,Entertainment
bowling session,Entertainment
standup show,Entertainment
game purchase,Entertainment
concert pass,Entertainment
standup show,Entertainment
